      everybody	        NN	      S-NP
          talks	       VBZ	      S-VP
          about	        IN	      S-PP
      happiness	        NN	      S-NP
          these	        DT	      B-NP
           days	       NNS	      E-NP
              i	       PRP	      S-NP
            had	       VBD	      S-VP
       somebody	        NN	      S-NP
          count	        VB	      S-VP
            the	        DT	      B-NP
         number	        NN	      E-NP
             of	        IN	      S-PP
          books	       NNS	      S-NP
           with	        IN	      S-PP
      happiness	        NN	      S-NP
             in	        IN	      S-PP
            the	        DT	      B-NP
          title	        NN	      E-NP
      published	       VBN	      S-VP
             in	        IN	      S-PP
            the	        DT	      B-NP
           last	        JJ	      I-NP
           five	        CD	      I-NP
          years	       NNS	      E-NP
            and	        CC	         O
           they	       PRP	      S-NP
           gave	       VBD	      S-VP
             up	        RP	     S-PRT
          after	        IN	      S-PP
          about	        IN	      B-NP
             40	        CD	      I-NP
            and	        CC	      I-NP
          there	        EX	      E-NP
           were	       VBD	      S-VP
           many	        RB	      B-NP
           more	       JJR	      E-NP
          there	        EX	      S-NP
             is	       VBZ	      S-VP
              a	        DT	      B-NP
           huge	        JJ	      I-NP
           wave	        NN	      E-NP
             of	        IN	      S-PP
       interest	        NN	      S-NP
             in	        IN	      S-PP
      happiness	        NN	      S-NP
          among	        IN	      S-PP
    researchers	       NNS	      S-NP
          there	        EX	      S-NP
             is	       VBZ	      S-VP
              a	        DT	      B-NP
            lot	        NN	      E-NP
             of	        IN	      S-PP
      happiness	        NN	      B-NP
       coaching	        NN	      E-NP
      everybody	        NN	      S-NP
          would	        MD	      B-VP
           like	        VB	      I-VP
             to	        TO	      I-VP
           make	        VB	      E-VP
         people	       NNS	      S-NP
        happier	       JJR	    S-ADJP
            but	        CC	         O
             in	        IN	      S-PP
          spite	        NN	      S-NP
             of	        IN	      S-PP
            all	       PDT	      B-NP
           this	        DT	      I-NP
          flood	        NN	      E-NP
             of	        IN	      S-PP
           work	        NN	      S-NP
          there	        EX	      S-NP
            are	       VBP	      S-VP
        several	        JJ	      B-NP
      cognitive	        JJ	      I-NP
          traps	       NNS	      E-NP
           that	        DT	      B-NP
           sort	        NN	      E-NP
             of	        IN	      S-PP
           make	        VB	      S-VP
             it	       PRP	      S-NP
         almost	        RB	    S-ADVP
     impossible	        JJ	    S-ADJP
             to	        TO	      B-VP
          think	        VB	      E-VP
       straight	        JJ	    S-ADJP
