             hi	       SYM	      S-NP
             my	      PRP$	      B-NP
           name	        NN	      E-NP
             is	       VBZ	      S-VP
          frank	        JJ	    S-ADJP
            and	        CC	         O
              i	       PRP	      S-NP
        collect	       VBP	      S-VP
        secrets	       NNS	      S-NP
             it	       PRP	      S-NP
            all	        DT	      S-NP
        started	       VBD	      S-VP
           with	        IN	      S-PP
              a	        DT	      B-NP
          crazy	        JJ	      I-NP
           idea	        NN	      E-NP
             in	        IN	      S-PP
       november	        NN	      S-NP
             of	        IN	      S-PP
           2004	        CD	      S-NP
              i	       PRP	      S-NP
        printed	       VBD	      S-VP
             up	        IN	      S-PP
           3000	        CD	      B-NP
           self	        NN	      I-NP
      addressed	       VBN	      I-NP
      postcards	       NNS	      E-NP
           just	        RB	    S-ADVP
           like	        IN	      S-PP
           this	        DT	      S-NP
           they	       PRP	      S-NP
           were	       VBD	      S-VP
          blank	        JJ	    S-ADJP
             on	        IN	      S-PP
            one	        CD	      B-NP
           side	        NN	      E-NP
            and	        CC	      S-PP
             on	        IN	      S-PP
            the	        DT	      B-NP
          other	        JJ	      I-NP
           side	        NN	      E-NP
              i	       PRP	      S-NP
         listed	       VBD	      S-VP
           some	        DT	      B-NP
         simple	        JJ	      I-NP
   instructions	       NNS	      E-NP
              i	       PRP	      S-NP
          asked	       VBD	      S-VP
         people	       NNS	      S-NP
             to	        TO	      B-VP
    anonymously	        RB	      I-VP
          share	        VB	      E-VP
             an	        DT	      B-NP
         artful	        JJ	      I-NP
         secret	        NN	      E-NP
           they	       PRP	      S-NP
          would	        MD	      B-VP
          never	        RB	      I-VP
           told	       VBD	      E-VP
         anyone	        NN	      S-NP
         before	        IN	    S-SBAR
            and	        CC	         O
              i	       PRP	      S-NP
         handed	       VBD	      S-VP
            out	        RP	     S-PRT
          these	        DT	      B-NP
      postcards	       NNS	      E-NP
       randomly	        RB	    S-ADVP
             on	        IN	      S-PP
            the	        DT	      B-NP
        streets	       NNS	      E-NP
             of	        IN	      S-PP
     washington	        NN	      S-NP
             dc	        NN	      B-NP
            not	        RB	      E-NP
        knowing	       VBG	      S-VP
           what	        WP	      S-NP
             to	        TO	      B-VP
         expect	        VB	      E-VP
            but	        CC	         O
           soon	        RB	    S-ADVP
            the	        DT	      B-NP
           idea	        NN	      E-NP
          began	       VBD	      B-VP
      spreading	       VBG	      E-VP
        virally	        JJ	      B-NP
         people	       NNS	      E-NP
          began	       VBD	      B-VP
             to	        TO	      I-VP
            buy	        VB	      E-VP
          their	      PRP$	      B-NP
            own	        JJ	      I-NP
      postcards	       NNS	      E-NP
            and	        CC	         O
           make	       VBP	      S-VP
          their	      PRP$	      B-NP
            own	        JJ	      I-NP
      postcards	       NNS	      E-NP
              i	       PRP	      S-NP
        started	       VBD	      B-VP
      receiving	       VBG	      E-VP
        secrets	       NNS	      S-NP
             in	        IN	      S-PP
             my	      PRP$	      B-NP
           home	        NN	      I-NP
        mailbox	        NN	      E-NP
            not	        RB	    B-ADVP
           just	        RB	    E-ADVP
           with	        IN	      S-PP
      postmarks	       NNS	      S-NP
           from	        IN	      S-PP
     washington	        NN	      B-NP
             dc	        NN	      E-NP
            but	        CC	      S-PP
           from	        IN	      S-PP
          texas	        JJ	      B-NP
     california	        NN	      I-NP
      vancouver	        NN	      I-NP
            new	        JJ	      I-NP
        zealand	        NN	      E-NP
           iraq	        NN	      S-NP
           soon	        RB	    S-ADVP
             my	      PRP$	      B-NP
          crazy	        JJ	      I-NP
           idea	        NN	      E-NP
            did	       VBD	      B-VP
            not	        RB	      I-VP
           seem	        VB	      E-VP
             so	        RB	    B-ADJP
          crazy	        JJ	    E-ADJP

